video_id,url,title,brand,views,upload_date,channel,duration_seconds,video_type,sentiment,sentiment_confidence,max_weight_lb,weight_range_lb,damage_free,removable,no_tools_required,heavy_duty,waterproof,permanent,indoor_outdoor,outdoor_rated,pain_points,benefits,use_cases,has_transcript
GLMYF90YFTk,https://www.youtube.com/watch?v=GLMYF90YFTk,HOW TO HANG CURTAINS WITH COMMAND HOOKS | hanging curtains with no drill-curtain hack,Command,145027,20221114,AllThings B,,tutorial|tips,neutral,0.7,,,,,True,,,,,,,rental_friendly:1,curtains:1|diy_projects:1,True
V1xFBYqS5uw,https://www.youtube.com/watch?v=V1xFBYqS5uw,How to remove a BROKEN Command Strip | Ed Tchoi,Command,143306,20190509,Ed Tchoi,,tutorial,neutral,0.7,,,,,,,,,,,durability_issues:3,,tv_mounting:2|picture_hanging:1|renter_friendly:1,True
STiJxtkNckI,https://www.youtube.com/watch?v=STiJxtkNckI,My first time using monkey hooks!  2019 | LIVING GRATEFULLY | HOW TO USE MONKEY HOOKS,Command,141370,20190923,Living Gratefully,,tutorial,neutral,0.7,50,35-50,,,,,,,,,,easy_installation:1,decoration:1|hooks:1,True
YLyCJppyXJ4,https://www.youtube.com/watch?v=YLyCJppyXJ4,How to Install a Command Hook - The OFFICIAL Method,Command,112452,20190704,Ed Tchoi,,tutorial,neutral,0.7,,,,,,,,,,,adhesion_failure:1|surface_damage:1,easy_installation:1|time_saving:1,picture_hanging:1,True
YEU7jh2szDQ,https://www.youtube.com/watch?v=YEU7jh2szDQ,Testing Command Picture Hangers - Do They Really Work?,Command,108860,20240804,Proper DIY,,tutorial|comparison,neutral,0.7,,,,,,,,,,,,easy_installation:2|versatile:1,picture_hanging:2|heavy_items:2|bathroom:1|diy_projects:1,True
uIxHEvSm2IU,https://www.youtube.com/watch?v=uIxHEvSm2IU,"★★★★★ ""Tin Foil Hack"" - Command Strip Trick: How to Hang Command Strips without them failing",Command,106317,20220206,Beau Reviews Awesomeness: Authentic Tests & Demos,,tutorial|review|problem|tips,neutral,0.7,,,,,,,,,,,,,picture_hanging:2|diy_projects:1,True
dzekfXx-NHA,https://www.youtube.com/watch?v=dzekfXx-NHA,How to Use Command Hooks | How to Remove Command Hooks | Ryman,Command,94086,20190319,Ryman Stationery,,tutorial,neutral,0.7,,,True,,,,,,,,,strong_hold:1|damage_free:1|easy_installation:1|versatile:1|time_saving:1,bathroom:1|kitchen:1,True
4TtFXgbbncU,https://www.youtube.com/watch?v=4TtFXgbbncU,How to use Command Picture Hanging Strips,Command,76550,20170314,Ryman Stationery,,tutorial,neutral,0.7,,,,,,,,,,,,time_saving:1,picture_hanging:1|renter_friendly:1,True
tCEQXnlwBMw,https://www.youtube.com/watch?v=tCEQXnlwBMw,DIY How to install 3M command hooks (super easy!) #3M #commandhooks #commandstrips,Command,74906,20220821,Super Simple Fixes,,tutorial,neutral,0.7,,,,,,,,,,,,easy_installation:2|professional_results:1,diy_projects:1,True
qEa_nByTsK0,https://www.youtube.com/watch?v=qEa_nByTsK0,3M Command Strips – How to apply,Command,63147,20201223,Littleguy Big Reviews,,tutorial|review,neutral,0.7,,,True,,,,,,,,,damage_free:1|easy_installation:1|time_saving:1,picture_hanging:2|decoration:1|shelving:1|heavy_items:1,True
LlFDgYj65fk,https://www.youtube.com/watch?v=LlFDgYj65fk,"Hanging a Picture Without Hooks, Holes or Nails - Using 3M Command Strips on Concrete",Command,62440,20220425,Road to One Million,,tutorial|problem,neutral,0.7,,,,,,,,,,,,,picture_hanging:3|diy_projects:1,True
QLw_k3qsmj0,https://www.youtube.com/watch?v=QLw_k3qsmj0,Best IKEA Playroom Hacks🛠️✨,Command,62284,20240727,Courtney Playroom Inspo,,tutorial|tips,neutral,0.7,,,,,,,,,,,,time_saving:1,picture_hanging:1|diy_projects:1,True
X3P2BtttNS8,https://www.youtube.com/watch?v=X3P2BtttNS8,Hanging Holiday Lights with Command Hooks. Command Decorating Clips [373],Command,55074,20211207,Jeff Reviews4u,,tutorial|review,neutral,0.7,,,,,,,,,,,surface_damage:1|durability_issues:1,strong_hold:1,decoration:3|picture_hanging:1,True
i_yu38Moi7Q,https://www.youtube.com/watch?v=i_yu38Moi7Q,3M Command Jumbo Utility Hook,Command,54843,20170517,KevCentral,,tutorial|problem,neutral,0.7,5,2-5,,,,,,,,,surface_damage:1,versatile:1,picture_hanging:1,True
f6S4sSKiQ8o,https://www.youtube.com/watch?v=f6S4sSKiQ8o,Organizing with Command Hooks | Genius Ideas!,Command,51766,20210325,The Crafty Organizer,,tutorial,neutral,0.7,,,,True,,,,,,,durability_issues:1,rental_friendly:1,picture_hanging:2|organization:2|decoration:1|kitchen:1|renter_friendly:1|diy_projects:1,True
WwNg3QAlTt0,https://www.youtube.com/watch?v=WwNg3QAlTt0,How to use 3M Command Hanging Strips​⁠​⁠​⁠​⁠@CommandANZ #homedecor #ad #diy #bunnings #shortsviral,Command,48885,20230522,The Organising Platform - Professional Organiser,,tutorial,neutral,0.7,,,,,,,,,,,,easy_installation:1,picture_hanging:1|decoration:1|diy_projects:1,True
X9v2gQS76PQ,https://www.youtube.com/watch?v=X9v2gQS76PQ,How to install 3M Command Wall Hook and Strips - Good for apartments,Command,47809,20150817,Greensky438,,tutorial,neutral,0.7,,,,,,,,,,,surface_damage:1,easy_installation:1|time_saving:1|rental_friendly:1,picture_hanging:1|organization:1|decoration:1|office:1|renter_friendly:1,True
HBryj3fht9k,https://www.youtube.com/watch?v=HBryj3fht9k,Gadget Organization Tips using 3M COMMAND STRIPS,Command,45549,20160203,David Zhang,,tutorial|problem|tips,neutral,0.7,,,,True,,,,,,,,rental_friendly:1,kitchen:2|picture_hanging:1|organization:1|diy_projects:1,True
UcjRnaIY370,https://www.youtube.com/watch?v=UcjRnaIY370,3M Command Strips 1 Year Later – Do They Still Hold?,Command,40874,20221205,Littleguy Big Reviews,,general,neutral,0.6,,,,,,,,,,,surface_damage:1|durability_issues:1,,shelving:1|bathroom:1,True
FRNCcXooxlA,https://www.youtube.com/watch?v=FRNCcXooxlA,How to Install Monkey Hooks - An Alternative to 3M Command Strips,Command,40056,20210426,Road to One Million,,tutorial,neutral,0.7,,,,,,,,,,,surface_damage:1,easy_installation:1|versatile:1,picture_hanging:1|hooks:1|kitchen:1,True
TrnbGQhgbMc,https://www.youtube.com/watch?v=TrnbGQhgbMc,3M Command Strips 5 Reasons they wont Stick & Peel Paint off walls.How to Fix this,Command,37628,20230116,Littleguy Big Reviews,,tutorial,neutral,0.7,,,,,,,,,,,surface_damage:3,strong_hold:1|value_for_money:1,picture_hanging:1|shelving:1,True
jWLQADP5wfg,https://www.youtube.com/watch?v=jWLQADP5wfg,HOW TO HANG CURTAINS WITH THE NEW COMMAND CURTAIN HOOKS| NO HOLES OR TOOLS| APARTMENT FRIENDLY,Command,34988,20240909,Lia Lavon,,tutorial|review,neutral,0.7,,,True,,,,,,,,durability_issues:1,easy_installation:3|strong_hold:1|damage_free:1|time_saving:1|rental_friendly:1,renter_friendly:2|picture_hanging:1|curtains:1|heavy_items:1,True
cjCVR_j14XQ,https://www.youtube.com/watch?v=cjCVR_j14XQ,5 Reasons Your Command Strips Are Not Sticking To The Wall,Command,32527,20230623,Stephanie Booth Home,,tutorial|tips,neutral,0.7,,,,,,,,,,,,value_for_money:2,heavy_items:1,True
4RJu41zSWbY,https://www.youtube.com/watch?v=4RJu41zSWbY,Battle of the Wall Hangers! 3M Claw vs. 3M Command Strips vs. Basic Wall Anchors!,Command,27926,20210825,Revu2u,,comparison|problem,negative,0.9,,,,,,,,,,,,easy_installation:2,picture_hanging:2|decoration:1|renter_friendly:1|heavy_items:1,True
8o0kwEFSI6s,https://www.youtube.com/watch?v=8o0kwEFSI6s,How To Use Command Picture Hanging Strips-Easy Tutorial,Command,26250,20210624,Helpful DIY,,tutorial,neutral,0.7,,,,,,,,,,,surface_damage:1|price_too_high:1,easy_installation:1,picture_hanging:1|renter_friendly:1,True
2FuXFREKuLA,https://www.youtube.com/watch?v=2FuXFREKuLA,Command Strips: Picture Hanging Solution! #commandstrips #amazon #AmazonFinds #amazonhome #lifehacks,Command,24610,20230621,My Useful Products ,,tutorial|review|demo|tips,neutral,0.7,,,,,,,,,,,,easy_installation:1,picture_hanging:1|diy_projects:1,True
fxiu7gBwI2A,https://www.youtube.com/watch?v=fxiu7gBwI2A,Easy Picture Ledge No Screws No Nails! 3M Command Strips Only  #diy #3m #pictureledge,Command,23658,20231228,woodworkingchan,,tutorial|tips,neutral,0.7,,,,,True,,,,,,surface_damage:1|installation_difficulty:1,damage_free:1|easy_installation:1,picture_hanging:3|shelving:1|diy_projects:1,True
po0CoRCZIuY,https://www.youtube.com/watch?v=po0CoRCZIuY,3M Command Strips X-Large Heavy Duty Hooks – Strong or Fail?,Command,22278,20230322,Littleguy Big Reviews,,problem,negative,0.9,,,,,,True,,,,,,strong_hold:2|versatile:1|rental_friendly:1,picture_hanging:1|organization:1|curtains:1|kitchen:1|heavy_items:1,True
TWRhvB8RRvQ,https://www.youtube.com/watch?v=TWRhvB8RRvQ,Does the Dollar Tree Version of a Command Hook Actually Work? | Dollar Tree Removable Hook,Command,20222,20200912,Life's A Project,,tutorial,neutral,0.7,,,,True,,,,,,,surface_damage:1|durability_issues:1,strong_hold:1|rental_friendly:1,picture_hanging:1|renter_friendly:1|diy_projects:1|heavy_items:1,True
E82Z4LulJ5U,https://www.youtube.com/watch?v=E82Z4LulJ5U,Command Hook Large,Command,14961,20230525,Reviews with Ty & Debbie,,review,positive,0.85,,,,,,,,,,,,,picture_hanging:1|organization:1,True
jDH_oJMGP_4,https://www.youtube.com/watch?v=jDH_oJMGP_4,15 lb Capacity Command Hooks #commandhooks #wallhook #commandstrips,Command,12635,20240920,BeatTheBush DIY,,comparison,mixed,0.8,15,15-15,,,,,,,,,,,,True
SPTwwbN2HDo,https://www.youtube.com/watch?v=SPTwwbN2HDo,"Command Strips Hooks for Lights | Indoor or Outdoor Use with 3M How to Install, Review & Removal",Command,11104,20221124,Caesar Critiques,,tutorial|review,neutral,0.7,,,,,,,,,,True,,professional_results:1,decoration:1,True
KMPy704-UgE,https://www.youtube.com/watch?v=KMPy704-UgE,"Command hooks and Picture hanging strips, used and reviewed.",Command,10586,20200813,The Stone Crafting Workshop,,tutorial|review|comparison,neutral,0.7,,,,,True,,,,,,surface_damage:2|temperature_sensitive:1,damage_free:1|easy_installation:1|rental_friendly:1,decoration:2|heavy_items:2|picture_hanging:1|renter_friendly:1|diy_projects:1,True
FbR1szrW6YE,https://www.youtube.com/watch?v=FbR1szrW6YE,How to use 3M Command Sticky Nails Photo Hanger / Universal Picture Hanger,Command,10463,20171024,Hardware Specialist,,tutorial,neutral,0.7,,,,,,,,,,,,strong_hold:1,picture_hanging:2,True
Tf60O7s_1hQ,https://www.youtube.com/watch?v=Tf60O7s_1hQ,Anyone else tired of wall hooks that keep damaging your walls? The Command damage-free hook uses adh,Command,9373,20230710,UGCpreneur Sara,,tutorial,neutral,0.7,,,,,,,,,,,surface_damage:1|durability_issues:1,strong_hold:2|easy_installation:1,decoration:1|bathroom:1,True
IJ5aea7G8Wc,https://www.youtube.com/watch?v=IJ5aea7G8Wc,3M Command Strips Mop & Broom Holder Review – Worth It?,Command,8582,20220820,Littleguy Big Reviews,,review,positive,0.85,,,,,,,,,,,,strong_hold:1|time_saving:1|value_for_money:1,heavy_items:2|picture_hanging:1|shelving:1,True
V6EYRAUpWIQ,https://www.youtube.com/watch?v=V6EYRAUpWIQ,3M Command Strip Shower Caddy Review – Does It Really Hold?,Command,7059,20230611,Littleguy Big Reviews,,tutorial|review,neutral,0.7,,,,,,,,,,,surface_damage:1,,bathroom:2|picture_hanging:1,True
MAJczST-ygg,https://www.youtube.com/watch?v=MAJczST-ygg,3M Command Hooks - Can They Hold Curtain Rods? #shorts,Command,6841,20230323,Littleguy Big Reviews,,review,mixed,0.75,,,,,,,,,,,,,curtains:1,True
OUB_KFvVEd0,https://www.youtube.com/watch?v=OUB_KFvVEd0,Introducing Scotch-Mount™ Multipurpose Gel Tape (:30),Scotch,7804334,20250521,Scotch,,tutorial|tips,neutral,0.7,20,20,,True,,,,,,,,easy_installation:2|strong_hold:1|versatile:1|time_saving:1|rental_friendly:1,diy_projects:1,True
UbXy3c2oAfA,https://www.youtube.com/watch?v=UbXy3c2oAfA,Which Duct Tape Brand is the Best?  Let's find out!,Scotch,4851719,20180128,Project Farm,,comparison,mixed,0.8,,,,,,,,,,,durability_issues:1,time_saving:1,picture_hanging:1|renter_friendly:1|diy_projects:1,True
u5BBfK-P1XM,https://www.youtube.com/watch?v=u5BBfK-P1XM,3M Scotch® Extreme Double-Sided Mounting Tapeพลังการยึดติดที่แข็งแกร่ง,Scotch,2813638,20250811,Scotch,,general,neutral,0.6,,,,,,,,,,,temperature_sensitive:1,,,True
2__lmMVYS6A,https://www.youtube.com/watch?v=2__lmMVYS6A,"Which Masking Tape is the Best?  Frog Tape ve Duck Pro, Stik Tek, 3M, Scotch, Dollar General",Scotch,1089538,20190930,Project Farm,,comparison,mixed,0.8,,,,,,,,,,,price_too_high:1|temperature_sensitive:1,value_for_money:2|professional_results:1,picture_hanging:1|renter_friendly:1|diy_projects:1,True
_sBVEPslwZY,https://www.youtube.com/watch?v=_sBVEPslwZY,Best Electrical Tape (Vinyl Tape)?  Lets find out!,Scotch,634604,20180528,Project Farm,,comparison,mixed,0.8,,,,,,,,,,,temperature_sensitive:2,professional_results:1,picture_hanging:1,True
KWbjd2I8fJQ,https://www.youtube.com/watch?v=KWbjd2I8fJQ,Scotch® Shipping Packaging Tape Dispenser – Commercial Grade,Scotch,462707,20220413,Scotch Australia and New Zealand,,tutorial,neutral,0.7,,,,,,True,,,,,,,organization:1|heavy_items:1,True
i5aqYXTrqdc,https://www.youtube.com/watch?v=i5aqYXTrqdc,How To Change Scotch Shipping Tape (Packaging Dispenser),Scotch,201150,20200714,Jonathan Browne Menzies,,tutorial,neutral,0.7,,,,,,,,,,,surface_damage:1|installation_difficulty:1|price_too_high:1,professional_results:2|strong_hold:1|easy_installation:1,,True
YMXvXbIkNFU,https://www.youtube.com/watch?v=YMXvXbIkNFU,How to start a roll of Scotch® Double-Sided Tape,Scotch,189647,20220114,Scotch,,tutorial,neutral,0.7,,,,,,,,,,,,,picture_hanging:1,True
HwwvVfH_5qU,https://www.youtube.com/watch?v=HwwvVfH_5qU,"Mounting Tape Showdown: Gorilla V. Scotch - the strongest of the strongest, and the winner is....",Scotch,129896,20190212,Which is Better?,,tutorial,neutral,0.7,,,,,,,,,,,,strong_hold:1,renter_friendly:1,True
JTSZhp4PwqA,https://www.youtube.com/watch?v=JTSZhp4PwqA,3M Scotch® Extreme Double Sided Mounting Tape,Scotch,67419,20230923,Kaki DIY,,tutorial|review|comparison,neutral,0.7,,,,,,,,,,True,surface_damage:1,,diy_projects:2,True
u_0mhJhY8_M,https://www.youtube.com/watch?v=u_0mhJhY8_M,How To Use The Best Packing Tape Dispenser by Scotch Packaging Tape Review,Scotch,65715,20221216,Just A Dad Tips,,tutorial|review,neutral,0.7,,,,,,True,,,,,durability_issues:1,easy_installation:1,picture_hanging:1|heavy_items:1,True
U6fEGFssPHY,https://www.youtube.com/watch?v=U6fEGFssPHY,3M Scotch® Extreme Double Sided Mounting Tape,Scotch,64150,20240402,Kaki DIY,,tutorial|review|comparison,neutral,0.7,,,,,,,,,,,,,diy_projects:2|heavy_items:1,True
SnAyDm1ugGk,https://www.youtube.com/watch?v=SnAyDm1ugGk,How to Use : Scotch-Mount Extreme Double-Sided Mounting Tape,Scotch,55022,20220731,Tricks Tips Fix,,tutorial,neutral,0.7,,,,,,,,,,,,,,True
saQ7JV-5TL4,https://www.youtube.com/watch?v=saQ7JV-5TL4,Scotch Tape Packing Tape Dispenser Gun Review & How To Use It,Scotch,51817,20230502,Just A Dad Tips,,tutorial|review|problem,neutral,0.7,,,,,,True,,,,,durability_issues:1,value_for_money:1,renter_friendly:1|heavy_items:1,True
vmyhOPlnrUE,https://www.youtube.com/watch?v=vmyhOPlnrUE,Scotch Extreme Mounting Tape | The Home Team S2 E44,Scotch,42376,20160713,The Home Team,,general,neutral,0.6,,,,,,,,,,,,easy_installation:1,tv_mounting:1,True
CqAiWubhvgM,https://www.youtube.com/watch?v=CqAiWubhvgM,NEED TO HANG SOME HEAVY WALL ART? #SCOTCH MOUNTING TAPE IS WHERE ITS AT!,Scotch,40303,20201201,LaTori Aelisha,,tutorial|problem,neutral,0.7,,,,,,,,,,,,,picture_hanging:1|diy_projects:1|heavy_items:1,True
UklK8Qrodqw,https://www.youtube.com/watch?v=UklK8Qrodqw,Easy & Perfect 3M Double Sided Tape Mounting Hack | Quick Tip #3m #mountingtape #scotch #doubleside,Scotch,26096,20240602,Kaki DIY,,tutorial|tips,neutral,0.7,,,,,,,,,,,,easy_installation:3|strong_hold:1|versatile:1|time_saving:1,diy_projects:2|office:1,True
yk2erH1aRVk,https://www.youtube.com/watch?v=yk2erH1aRVk,3M Scotch® Double Sided Adhesive Roller Video Demo,Scotch,26084,20170218,Hardware Specialist,,demo,neutral,0.7,,,,,,,,,,,,easy_installation:1|time_saving:1,picture_hanging:2|diy_projects:2|office:1,True
w1kvBic5yvQ,https://www.youtube.com/watch?v=w1kvBic5yvQ,Difference Between 3M Super 88 & Super 33+ Electrical Tape Comparison,Scotch,19047,20230718,Just A Dad Tips,,tutorial|comparison|problem,neutral,0.7,,,,,,,,,,,durability_issues:1,value_for_money:1,renter_friendly:1,True
7TTMSrpPjxQ,https://www.youtube.com/watch?v=7TTMSrpPjxQ,Scotch Heavy Duty Packing Tape,Scotch,16613,20210920,The Internet Sorcerer,,tutorial|problem,neutral,0.7,,,,,,True,,,,,,value_for_money:1,picture_hanging:1|renter_friendly:1|heavy_items:1,True
bJK7QkLL3uc,https://www.youtube.com/watch?v=bJK7QkLL3uc,Scotch Packing Tape - Review,Scotch,14549,20211101,The Internet Sorcerer,,tutorial|review|problem,neutral,0.7,,,,,,,,,,,,value_for_money:1,renter_friendly:1,True
Nq_2ga1H5sk,https://www.youtube.com/watch?v=Nq_2ga1H5sk,Scotch Double Sided Tape Review,Scotch,13877,20230717,Nitty Gritty Product Reviews,,review,mixed,0.75,,,,,,,,True,,,durability_issues:1,strong_hold:1|easy_installation:1,diy_projects:1,True
rzcl7XKq_Mg,https://www.youtube.com/watch?v=rzcl7XKq_Mg,Scotch Double Sided Tape Review!,Scotch,13086,20230716,Odaddys,,tutorial|review|tips,neutral,0.7,,,,,,,,,,,,,diy_projects:2|picture_hanging:1,True
DBFhEoMVHsM,https://www.youtube.com/watch?v=DBFhEoMVHsM,Scotch Permanent Outdoor Mounting Tape Review for Mouting Acoustic Sound Foam! [4K],Scotch,11999,20171205,Jimmy a Geek,,tutorial|review,neutral,0.7,,,,,,,,True,,True,,easy_installation:1|value_for_money:1,acoustic_treatment:3,True
SBOV7Nyb3So,https://www.youtube.com/watch?v=SBOV7Nyb3So,Ultimate Painter's Tape SHOWDOWN: Find the Best Tape for Your Project,Scotch,11994,20240202,DIY Painting,,tutorial|comparison,neutral,0.7,,,,,,,,,,,surface_damage:1,professional_results:1|value_for_money:1,kitchen:2|diy_projects:2|picture_hanging:1|renter_friendly:1|heavy_items:1,True
noHOnO00p8Q,https://www.youtube.com/watch?v=noHOnO00p8Q,Scotch Magic Tape Review - Honest Review,Scotch,8798,20230705,Nitty Gritty Product Reviews,,tutorial|review,neutral,0.7,,,,True,,,,True,,,,,picture_hanging:1|office:1,True
XFnzQwmynAs,https://www.youtube.com/watch?v=XFnzQwmynAs,3M Scotch Heavy Duty Mounting Tape Unboxing in 4K UltraHD,Scotch,8337,20150221,IrixGuy's Adventure Channel,,tutorial|demo,neutral,0.7,,,,,,True,,True,,,,,heavy_items:2|picture_hanging:1,True
uvoU1e7CLzY,https://www.youtube.com/watch?v=uvoU1e7CLzY,Honest Review of this Scotch Shipping Tape Dispenser,Scotch,8117,20240707,Product Reviews with Lauren,,review|problem,mixed,0.75,,,,,,True,,,,,durability_issues:1,,heavy_items:1,True
6bL6lutWZls,https://www.youtube.com/watch?v=6bL6lutWZls,SCOTCH DOUBLE SIDED TAPE @ Dollar Tree #scotch #dollartree #dollartreehaul #namebrand,Scotch,8085,20240814,Find The Deals with Crystal,,general,neutral,0.6,,,,,,,,,,,,,picture_hanging:1,True
46oijES5arQ,https://www.youtube.com/watch?v=46oijES5arQ,Scotch Heavy Duty Tape Dispenser Review 🛠️ Best Packing Tape Tool for Heavy Boxes!,Scotch,6062,20250515,The Ancona Family,,tutorial|review|comparison,neutral,0.7,,,,,,True,,,,,,strong_hold:2|easy_installation:1|value_for_money:1,office:1|acoustic_treatment:1|heavy_items:1,True
ZPVViZqULWk,https://www.youtube.com/watch?v=ZPVViZqULWk,Scotch 3M VHB  Waterproof Double Sided Tape Review & Unboxing Sanka,Scotch,6019,20210903,Neal’s Reviews & Unboxings,,tutorial|review|demo,neutral,0.7,,,,,,True,True,,,,temperature_sensitive:1,,decoration:2|office:1|acoustic_treatment:1|heavy_items:1,True
ws12tLMRKCQ,https://www.youtube.com/watch?v=ws12tLMRKCQ,Scotch vs Amazon Basics Packing Tape Comparison,Scotch,5568,20221215,Just A Dad Tips,,tutorial|comparison|problem,neutral,0.7,,,,,,True,,,,,durability_issues:1,value_for_money:1,organization:1|renter_friendly:1|heavy_items:1,True
4MxBshW4gAo,https://www.youtube.com/watch?v=4MxBshW4gAo,Pro-Level Gift Wrapping with 3M Scotch Permanent Double-Sided Tape!,Scotch,5100,20241108,Enchanted Unboxing,,demo|tips,neutral,0.7,,,,,,,,True,,,,professional_results:2|easy_installation:1,decoration:1|diy_projects:1,True
GJuYkyqWbME,https://www.youtube.com/watch?v=GJuYkyqWbME,Scotch tape for watercolor. Will it work? #watercolour #watercolortips #watercolorhack #artsupplies,Scotch,4989,20220415,Rebel Unicorn Crafts,,tips,neutral,0.6,,,,True,,,,,,,,easy_installation:1|rental_friendly:1,picture_hanging:1|diy_projects:1,True
u_ukApEogxs,https://www.youtube.com/watch?v=u_ukApEogxs,Unboxing:Scotch double sided tape applicator,Scotch,3800,20201023,Agape Greeting Cards by Irene,,problem|demo|tips,neutral,0.7,,,,,,,,,,,installation_difficulty:1,,picture_hanging:1|diy_projects:1,True
DAYluUr0aDo,https://www.youtube.com/watch?v=DAYluUr0aDo,Scotch 3M - Double Sided Foam Tape,Scotch,3320,20180513,Product TALK,,review,mixed,0.75,,,,,,,,,,,,time_saving:2|easy_installation:1,office:1|acoustic_treatment:1,True
3f_wiipt0SE,https://www.youtube.com/watch?v=3f_wiipt0SE,Scotch Duct Tape vs Duck Tape,Scotch,3240,20130810,Janet Quach,,comparison,mixed,0.8,,,,,,,,,,,price_too_high:1,time_saving:1,office:1,True
1S6WkBR-eT8,https://www.youtube.com/watch?v=1S6WkBR-eT8,Duct Tape vs Gaffer Tape vs Cloth Tape,Scotch,2939,20241227,ION HowTo,,tutorial|comparison,neutral,0.7,,,,,,,,,,,surface_damage:1,strong_hold:1|easy_installation:1,tv_mounting:1,True
t4iUiHvMjRU,https://www.youtube.com/watch?v=t4iUiHvMjRU,Scotch Mount Clear Double Sided Mounting Tape 410H MED Review,Scotch,2858,20240628,WRv,,review,mixed,0.75,,,,,,,,,,,,,,True
